sales_id,buyer_id,supplier_id,organization_id,product_id,project_id,quantity,total_amount_usd,sale_date,payment_mode,status
SALE00001,BUY007,SUP002,ORG008,PRD003,PRJ005,89,328122.53,2024-01-26,PayPal,Completed
SALE00002,BUY001,SUP004,ORG009,PRD001,PRJ010,86,166431.5,2022-04-20,Credit Card,Cancelled
SALE00003,BUY002,SUP010,ORG010,PRD010,PRJ005,88,314121.28,2025-01-01,Wire Transfer,Cancelled
SALE00004,BUY002,SUP003,ORG005,PRD010,PRJ009,97,346247.32,2025-12-08,Bank Transfer,Pending
SALE00005,BUY001,SUP008,ORG001,PRD003,PRJ001,82,302315.14,2020-04-23,Credit Card,Completed
SALE00006,BUY009,SUP006,ORG003,PRD001,PRJ002,30,58057.5,2020-05-10,Bank Transfer,Pending
SALE00007,BUY005,SUP004,ORG009,PRD006,PRJ008,76,65692.12,2022-12-05,Bank Transfer,Cancelled
SALE00008,BUY009,SUP008,ORG003,PRD003,PRJ004,74,272820.98,2024-08-05,Bank Transfer,Pending
SALE00009,BUY006,SUP004,ORG001,PRD005,PRJ002,100,86449.0,2022-04-07,Bank Transfer,Cancelled
SALE00010,BUY010,SUP001,ORG004,PRD004,PRJ003,59,178972.37,2020-04-05,PayPal,Pending
SALE00011,BUY010,SUP004,ORG002,PRD005,PRJ001,94,81262.06,2022-08-03,Bank Transfer,Cancelled
SALE00012,BUY004,SUP010,ORG006,PRD008,PRJ009,50,217213.0,2021-11-21,Credit Card,Completed
SALE00013,BUY001,SUP004,ORG002,PRD007,PRJ006,41,15769.01,2020-02-01,Wire Transfer,Completed
SALE00014,BUY003,SUP009,ORG001,PRD002,PRJ007,89,423506.5,2021-07-08,Wire Transfer,Pending
SALE00015,BUY007,SUP009,ORG007,PRD007,PRJ004,94,36153.34,2022-09-01,Bank Transfer,Cancelled
SALE00016,BUY004,SUP003,ORG004,PRD006,PRJ002,22,19016.14,2021-05-26,UPI,Pending
